Operator,Reservoir,CompletionDate,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM,CumOil12Month
23,6,2017-05-17,7066.0,1770.0,53.0,301.801,301.801,231.138,231.138,4871.143,423.68,15948.239,0.063,2839.733026,0.605,0.024,2.504469528,0.188,0.245,0.807,4.29972648620605,38890.03515625
23,5,2015-12-31,7471.0,,,810.531,307.552,221.747,7.027,4638.805,,21973.017,0.057,2788.335628,0.319,0.021,2.662805174,0.203,0.266,0.805,3.4982316493988,61980.99609375
23,6,2017-04-28,7666.0,1709.0,51.0,401.717,401.717,207.641,207.641,4849.959,433.674,15886.8525,0.06,2778.724256,0.585,0.024,2.501663264,0.185,0.251,0.807,4.49808216094971,20750.2109375
59,5,2018-11-14,9661.0,2096.0,40.0,1429.765,1043.947,12.613,19.158,4934.392,,16374.787,0.051,2562.12076,0.361,0.021,2.507262618,0.2,0.24,0.819,5.41371870040894,181170.0
10,5,2018-02-14,10481.0,,51.0,1154.827,1154.827,66.763,66.763,6741.176,,22161.654,0.049,4331.454595,0.358,0.011,2.375810138,0.189,0.315,0.966,6.42409706115723,165509.0
10,2,2018-02-14,10446.0,,55.0,1007.224,657.731,75.087,55.602,6192.228,,28998.331,0.055,2472.720457,0.384,0.011,2.753865482,0.231,0.126,0.966,6.61951065063477,262082.0
38,5,2019-12-26,9815.0,,47.0,651.522,651.522,34.192,34.192,6381.392,,,0.073,,,0.017,,0.277,0.175,0.722,5.58986663818359,118874.0
38,6,2018-09-25,9820.0,1951.0,52.0,2000.0,2000.0,500.0,500.0,6702.312,175.573,6940.937,0.064,4649.860222,0.704,0.011,3.191431432,0.193,0.214,0.718,5.85195875167847,36130.0
13,6,2016-11-28,7762.0,2000.0,46.0,1321.661,1154.82,3.552,2.504,6782.951,312.24,11380.975,0.036,4252.493244,0.495,0.01,2.235678086,0.159,0.365,0.961,4.51309156417847,150094.0
13,6,2016-11-21,7921.0,2019.0,46.0,987.105,987.105,4.599,4.599,6787.55,312.24,10070.852,0.039,4318.135278,0.539,0.01,2.260524975,0.16,0.365,0.962,4.59768295288086,155024.0
13,6,2016-11-27,7722.0,2015.0,46.0,756.328,756.328,23.698,23.698,6763.852,325.099,14364.034,0.039,4381.141539,0.529,0.013,2.203084315,0.165,0.36,0.963,4.50632667541504,113096.0
13,6,2017-03-05,7522.0,2110.0,48.0,877.261,415.573,13.786,13.786,6882.573,325.099,10736.943,0.044,3930.924554,0.466,0.006,2.399046625,0.165,0.315,0.965,4.54441118240356,137568.0
13,6,2017-03-05,7522.0,2022.0,46.0,878.902,623.01,148.66,47.408,6835.165,346.599,10311.102,0.048,3969.86619,0.536,0.006,2.623258018,0.159,0.307,0.965,4.44067811965942,93950.0
13,2,2019-10-19,7894.0,1542.0,39.0,442.336,442.336,201.877,201.877,6017.53,,19506.515,0.056,2783.648505,0.587,0.003,1.991094027,0.248,0.152,0.965,4.01520109176636,130387.0
23,2,2017-02-10,9761.0,1598.0,36.0,636.315,335.926,186.29,91.025,5189.743,,18746.408,0.057,2536.527063,0.543,0.014,2.259455191,0.224,0.149,0.85,5.12497663497925,228920.015625
23,5,2017-02-11,9721.0,1603.0,35.0,35.469,35.469,248.586,248.586,5471.298,,21029.599,0.066,2699.80909,0.415,0.012,2.804881884,0.225,0.107,0.853,5.16044425964355,246973.0
23,6,2017-02-16,9741.0,1550.0,37.0,304.066,316.717,266.413,248.586,5719.884,222.957,9164.491,0.051,3516.208792,0.612,0.015,2.78000017,0.193,0.19,0.85,5.14117288589478,190599.0
47,5,2016-02-08,7667.0,1764.0,45.0,313.718,313.718,321.712,321.712,6579.682,,17525.917,0.041,4219.494185,0.425,0.012,2.286664923,0.159,0.385,0.934,5.38754749298096,219197.0
47,6,2016-10-10,10479.0,1847.0,57.0,664.42,664.42,32.293,32.293,6918.664,407.06,17151.052,0.052,4624.429632,0.531,0.014,4.502934888,0.159,0.309,0.933,7.4208779335022,199524.0
47,6,2014-12-20,4563.0,1769.0,41.0,2000.0,995.665,35.054,500.0,6967.592,379.804,9669.955,0.034,4317.752962,0.578,0.012,2.306125702,0.148,0.351,0.936,3.67736387252808,154696.1875
47,6,2015-10-14,5126.0,1514.0,45.0,994.815,994.815,35.054,35.054,6932.538,387.908,9822.28,0.037,4256.247477,0.601,0.012,2.309232633,0.149,0.344,0.935,3.81449580192566,110463.8125
47,6,2016-01-14,5129.0,1628.0,41.0,258.037,447.588,500.0,371.201,6923.427,391.892,8404.558,0.031,4123.527048,0.593,0.012,2.24577623,0.147,0.354,0.935,3.8659565448761,96656.8125
47,6,2016-01-21,5125.0,1733.0,44.0,636.063,636.063,2.409,2.409,6903.802,391.892,10440.703,0.039,4259.367655,0.598,0.012,2.338100065,0.151,0.334,0.935,3.97089719772339,89733.375
47,5,2015-09-01,4614.0,1595.0,41.0,2000.0,2000.0,500.0,500.0,6448.605,,29317.275,0.052,3706.451185,0.281,0.013,2.284313504,0.162,0.375,0.933,3.48415613174438,87081.359375
47,6,2016-02-07,7787.0,1779.0,45.0,313.735,313.735,2.409,2.409,6901.394,404.302,8618.036,0.035,4352.846121,0.604,0.013,2.294392885,0.145,0.354,0.934,5.51558685302734,121020.0
47,6,2016-02-06,7792.0,1755.0,44.0,334.61,334.61,16.964,338.676,6918.358,404.302,9321.434,0.036,4455.164693,0.613,0.013,2.420292089,0.151,0.336,0.934,5.48899698257446,138807.0
47,6,2015-02-01,4529.0,1727.0,38.0,,,,,,421.248,12166.316,0.049,4127.630291,0.649,0.012,2.328975348,0.154,0.329,0.934,4.07266807556152,126832.9921875
47,2,2018-08-27,10241.0,1908.0,38.0,2000.0,2000.0,500.0,500.0,5915.259,,31646.345,0.055,3113.305396,0.321,0.014,2.608398745,0.223,0.17,0.934,6.78386211395264,85800.0
47,2,2018-08-27,10112.0,,4.0,,,,,5637.22119140625,,5194.966,0.055,1282.40375,0.739,0.014,2.094925,0.167,0.095,0.934,3.04156160354614,101571.0
47,5,2018-09-18,4518.0,1892.0,45.0,2000.0,2000.0,500.0,500.0,6446.062,,27765.38,0.051,3724.223851,0.313,0.011,2.255302506,0.162,0.377,0.933,3.68538355827332,96275.9921875
47,6,2018-09-18,4699.0,1856.0,46.0,677.954,677.954,1.155,1.155,6913.304,421.475,13802.446,0.054,3118.165238,0.621,0.012,4.99998576,0.182,0.296,0.933,3.8547568321228,137845.015625
47,6,2018-09-18,4696.0,,48.0,678.724,678.724,1.155,1.155,6912.15,421.475,17177.738,0.061,3067.624975,0.587,0.012,3.243535352,0.18,0.294,0.933,4.0284595489502,100907.0
47,7,2019-04-09,9580.0,1824.0,43.0,2000.0,2000.0,500.0,500.0,6391.373,,16900.767,0.062,4128.77579,0.718,,2.246384158,0.222,0.259,0.899,6.43501567840576,89902.9453125
32,6,2016-11-15,7726.0,1913.0,47.0,1348.732,1018.14,53.436,68.858,6162.125,504.029,20258.69,0.061,3964.291915,0.566,0.007,33.32059577,0.184,0.289,0.883,5.91414022445679,125745.0
13,5,1998-01-09,632.0,,,,,,,6587.318,,11500.934,0.036,3139.784451,0.423,0.001,1.781596802,0.158,0.382,0.909,,9717.0
13,5,2000-06-20,1379.0,,,,,,,6587.318,,11500.934,0.036,3139.784451,0.423,0.001,1.781596802,0.158,0.382,0.909,,9717.0
25,5,2012-04-13,3748.0,203.0,23.0,2000.0,1282.956,88.98,500.0,6573.282,,11763.848,0.025,3104.244114,0.334,0.006,1.505298841,0.119,0.513,0.878,2.66560530662537,29081.96484375
55,6,2017-09-07,9102.0,1959.0,50.0,1359.698,959.592,70.804,40.193,4083.601,561.507,21106.427,0.054,2555.310893,0.494,0.017,2.596231651,0.218,0.314,0.93,6.3830451965332,79199.0
47,6,2017-10-31,9980.0,2131.0,44.0,853.466,900.973,49.262,0.025,7052.537,329.819,9326.229,0.052,4167.615575,0.645,0.006,3.413387602,0.17,0.265,0.975,7.3105640411377,207898.0
47,6,2017-11-06,8231.0,2158.0,43.0,853.702,853.702,0.025,0.025,7052.562,329.819,9549.731,0.049,4153.765553,0.622,0.008,3.201281671,0.169,0.266,0.975,6.24381828308105,174040.0
18,5,2017-08-20,7032.0,1964.0,51.0,2000.0,673.557,94.777,500.0,6165.061,,13412.432,0.072,3206.564689,0.653,0.009,3.248321104,0.232,0.084,0.708,5.65148210525513,99303.0078125
58,6,2016-05-06,9302.0,1694.0,45.0,2000.0,955.716,41.839,500.0,6766.128,193.524,7004.693,0.039,3685.609524,0.595,0.017,2.023825714,0.128,0.402,0.927,5.18792343139648,136260.609375
58,2,2016-06-09,9482.0,1820.0,39.0,2000.0,595.216,68.822,500.0,6000.456,,25131.115,0.055,2957.48797,0.308,0.011,2.497748445,0.21,0.203,0.928,5.20041179656982,144915.265625
58,6,2018-06-15,10052.0,1932.0,51.0,642.69,457.007,13.194,16.235,6700.466,177.378,6532.537,0.037,3836.622641,0.492,0.012,2.151265326,0.13,0.387,0.936,5.90084171295166,279760.0625
58,6,2018-06-13,10052.0,1896.0,49.0,2000.0,627.894,36.119,500.0,6701.693,165.441,6521.583,0.038,3989.145271,0.49,0.008,2.09136708,0.13,0.383,0.938,5.716468334198,230401.03125
58,6,2018-10-02,10052.0,,,92.837,92.837,5.053,5.053,6717.164,175.265,6184.596,0.034,3669.640542,0.542,0.016,2.284376159,0.129,0.397,0.934,5.76636838912964,89060.28125
58,2,2018-07-19,10052.0,,,884.529,884.529,10.68,10.68,5991.427,,23974.472,0.054,3054.355033,0.326,0.011,2.708659806,0.214,0.176,0.936,5.64239883422852,56308.90234375
58,2,2018-09-12,10052.0,,,845.169,845.169,7.553,7.553,6002.108,,23077.011,0.053,3130.634564,0.356,0.011,2.677452804,0.213,0.178,0.935,5.64253997802734,52212.1875
58,2,2018-11-20,10052.0,,,844.845,844.845,7.553,7.553,5994.554,,25302.253,0.055,3027.268453,0.307,0.012,2.654140869,0.214,0.182,0.934,5.63479566574097,59503.48828125
58,2,2016-08-13,7322.0,1808.0,34.0,,,,,5708.685546875,,25057.537,0.055,3035.842581,0.313,0.011,2.72018082,0.215,0.169,0.938,4.22716951370239,70067.0
58,6,2016-01-16,7142.0,1734.0,45.0,2000.0,433.094,20.624,500.0,6716.701,165.441,6073.607,0.034,3723.858159,0.549,0.008,1.955539335,0.126,0.401,0.937,4.3278431892395,104101.0078125
58,6,2018-12-08,9302.0,,,92.464,92.464,1.492,1.492,6712.111,164.958,7040.382,0.036,3943.039858,0.467,0.011,2.163025978,0.127,0.397,0.936,5.47487592697144,174115.984375
19,3,2018-06-12,7184.0,1607.0,39.0,2000.0,2000.0,500.0,500.0,5547.544,,25148.229,0.063,1878.157766,0.225,,2.741338001,0.215,0.163,0.944,4.33725833892822,168524.578125
19,5,2018-06-12,7078.0,1596.0,40.0,747.68,747.68,271.104,271.104,6678.929,,26082.706,0.064,3522.819748,0.378,0.006,2.635737785,0.206,0.209,0.943,4.45947933197021,212107.421875
40,5,2018-01-23,10362.0,1821.0,33.0,512.225,512.225,26.99,26.99,4656.397,,18952.147,0.05,2816.103787,0.324,0.02,2.383242019,0.192,0.295,0.816,4.92124462127686,110470.0078125
40,5,2018-01-13,10523.0,1776.0,33.0,511.771,511.771,9.195,9.195,4629.407,,19482.0,0.05,2915.424238,0.307,0.019,2.507727023,0.196,0.269,0.814,4.9299488067627,104725.9921875
40,8,2017-02-28,10743.0,1861.0,65.0,2000.0,2000.0,500.0,500.0,6404.298,,11804.391,0.061,4083.312989,0.718,,1.736336679,0.3,0.17,0.812,5.86822986602783,79243.09375
40,5,2018-01-18,10523.0,1769.0,31.0,586.847,586.847,9.195,9.195,4620.212,,20498.752,0.053,2983.252695,0.313,0.019,2.460142551,0.194,0.281,0.812,4.88616609573364,113442.5703125
40,5,2018-01-14,10040.0,1834.0,33.0,586.993,361.619,21.371,12.727,4607.484,,19625.605,0.051,2804.347508,0.319,0.019,2.380165677,0.195,0.284,0.811,4.79313182830811,85966.0
